Position,Club,Played,Won,Drawn,Lost,GF,GA,GD,Points,season
1,Manchester United,38,28,5,5,86,43,43,89,2012/2013
2,Manchester City,38,23,9,6,66,34,32,78,2012/2013
3,Chelsea,38,22,9,7,75,39,36,75,2012/2013
4,Arsenal,38,21,10,7,72,37,35,73,2012/2013
5,Tottenham Hotspur,38,21,9,8,66,46,20,72,2012/2013
6,Everton,38,16,15,7,55,40,15,63,2012/2013
7,Liverpool,38,16,13,9,71,43,28,61,2012/2013
8,West Bromwich Albion,38,14,7,17,53,57,-4,49,2012/2013
9,Swansea City,38,11,13,14,47,51,-4,46,2012/2013
10,West Ham United,38,12,10,16,45,53,-8,46,2012/2013
11,Norwich City,38,10,14,14,41,58,-17,44,2012/2013
12,Fulham,38,11,10,17,50,60,-10,43,2012/2013
13,Stoke City,38,9,15,14,34,45,-11,42,2012/2013
14,Southampton,38,9,14,15,49,60,-11,41,2012/2013
15,Aston Villa,38,10,11,17,47,69,-22,41,2012/2013
16,Newcastle United,38,11,8,19,45,68,-23,41,2012/2013
17,Sunderland,38,9,12,17,41,54,-13,39,2012/2013
18,Wigan Athletic,38,9,9,20,47,73,-26,36,2012/2013
19,Reading,38,6,10,22,43,73,-30,28,2012/2013
20,Queens Park Rangers,38,4,13,21,30,60,-30,25,2012/2013
