Position,Club,	Played,Won,Drawn,Lost,GF,GA,GD,Points,season
1,Arsenal,38,23,9,6,68,33,35,78,1997/1998
2,Manchester United,38,23,8,7,73,26,47,77,1997/1998
3,Liverpool,38,18,11,9,68,42,26,65,1997/1998
4,Chelsea,38,20,3,15,71,43,28,63,1997/1998
5,Leeds United,38,17,8,13,57,46,11,59,1997/1998
6,Blackburn Rovers,38,16,10,12,57,52,5,58,1997/1998
7,Aston Villa,38,17,6,15,49,48,1,57,1997/1998
8,West Ham United,38,16,8,14,56,57,-1,56,1997/1998
9,Derby County,38,16,7,15,52,49,3,55,1997/1998
10,Leicester City,38,13,14,11,51,41,10,53,1997/1998
11,Coventry City,38,12,16,10,46,44,2,52,1997/1998
12,Southampton,38,14,6,18,50,55,-5,48,1997/1998
13,Newcastle United,38,11,11,16,35,44,-9,44,1997/1998
14,Tottenham Hotspur,38,11,11,16,44,56,-12,44,1997/1998
15,Wimbledon,38,10,14,14,34,46,-12,44,1997/1998
16,Sheffield Wednesday,38,12,8,18,52,67,-15,44,1997/1998
17,Everton,38,9,13,16,41,56,-15,40,1997/1998
18,Bolton Wanderers,38,9,13,16,41,61,-20,40,1997/1998
19,Barnsley,38,10,5,23,37,82,-45,35,1997/1998
20,Crystal Palace,38,8,9,21,37,71,-34,33,1997/1998
